treeid,year,xcoord,ycoord,tag,peninsula,northing,easting,bcnh_count,dcco_count
6951,2004,633954.287200000020675,4831227.961000000126660,6951,B,,,2,0
6951,2005,633954.287200000020675,4831227.961000000126660,6951,B,,,2,0
6951,2011,633954.287200000020675,4831227.961000000126660,6951,B,,,1,0
6953,2003,633956.935300000011921,4831274.512000000104308,6953,B,,,1,0
6953,2007,633956.935300000011921,4831274.512000000104308,6953,B,,,3,0
6954,2003,633906.470399999991059,4831268.593200000002980,6954,B,,,2,0
6954,2004,633906.470399999991059,4831268.593200000002980,6954,B,,,2,0
6954,2005,633906.470399999991059,4831268.593200000002980,6954,B,,,1,0
6954,2006,633906.470399999991059,4831268.593200000002980,6954,B,,,1,0
6955,2003,633904.560999999986961,4831270.455299999564886,6955,B,,,1,0
6955,2004,633904.560999999986961,4831270.455299999564886,6955,B,,,1,0
6955,2005,633904.560999999986961,4831270.455299999564886,6955,B,,,4,0
6956,2003,633925.692500000004657,4831268.686499999836087,6956,B,,,2,0
6956,2005,633925.692500000004657,4831268.686499999836087,6956,B,,,3,1
6956,2008,633925.692500000004657,4831268.686499999836087,6956,B,,,1,3
6957,2003,633925.957099999999627,4831266.656299999915063,6957,B,,,1,0
6957,2005,633925.957099999999627,4831266.656299999915063,6957,B,,,1,0
6957,2006,633925.957099999999627,4831266.656299999915063,6957,B,,,1,0
6958,2003,633910.004599999985658,4831258.274000000208616,6958,B,,,3,0
6958,2004,633910.004599999985658,4831258.274000000208616,6958,B,,,5,0
6958,2005,633910.004599999985658,4831258.274000000208616,6958,B,,,4,0
6958,2006,633910.004599999985658,4831258.274000000208616,6958,B,,,4,0
6958,2008,633910.004599999985658,4831258.274000000208616,6958,B,,,1,0
6960,2003,633917.350399999995716,4831264.228000000119209,6960,B,,,1,0
6960,2004,633917.350399999995716,4831264.228000000119209,6960,B,,,1,0
6960,2005,633917.350399999995716,4831264.228000000119209,6960,B,,,2,0
6960,2006,633917.350399999995716,4831264.228000000119209,6960,B,,,2,0
6960,2008,633917.350399999995716,4831264.228000000119209,6960,B,,,2,0
6962,2003,633914.228800000040792,4831261.154000000096858,6962,B,,,1,0
6962,2004,633914.228800000040792,4831261.154000000096858,6962,B,,,1,0
6962,2005,633914.228800000040792,4831261.154000000096858,6962,B,,,2,0
6962,2006,633914.228800000040792,4831261.154000000096858,6962,B,,,1,0
6962,2008,633914.228800000040792,4831261.154000000096858,6962,B,,,1,0
6963,2003,633956.735100000048988,4831241.764499999582767,6963,B,,,2,0
6963,2004,633956.735100000048988,4831241.764499999582767,6963,B,,,2,0
